university,universityLabel,countryLabel,cityLabel,foundingYear
http://www.wikidata.org/entity/Q597030,University of the Gambia,Гамбия,,1999-01-01T00:00:00Z
http://www.wikidata.org/entity/Q634796,University of Aden,Йемен,,1975-01-01T00:00:00Z
http://www.wikidata.org/entity/Q614203,Anhui Normal University,Китай,,1972-01-01T00:00:00Z
http://www.wikidata.org/entity/Q615998,Университет юго-восточной Луизианы,США,,1925-01-01T00:00:00Z
http://www.wikidata.org/entity/Q604470,Шаньдунский университет,Китай,,1901-01-01T00:00:00Z
http://www.wikidata.org/entity/Q624365,Hansung University Design campus,Республика Корея,,2001-01-01T00:00:00Z
http://www.wikidata.org/entity/Q605825,Воронежский государственный лесотехнический университет имени Г.Ф. Морозова,Россия,,1930-01-01T00:00:00Z
http://www.wikidata.org/entity/Q634669,East Tennessee State University,США,,1911-01-01T00:00:00Z
http://www.wikidata.org/entity/Q626591,Texas Southern University,США,,1947-01-01T00:00:00Z
http://www.wikidata.org/entity/Q601956,Университет Ольборга,Дания,Ольборг,1974-01-01T00:00:00Z
http://www.wikidata.org/entity/Q632506,Norfolk State University,США,,1935-01-01T00:00:00Z
http://www.wikidata.org/entity/Q595437,Fukushima Medical University,Япония,,1950-01-01T00:00:00Z
http://www.wikidata.org/entity/Q606026,Texas Tech University College of Arts & Sciences,США,,1925-01-01T00:00:00Z
http://www.wikidata.org/entity/Q595684,Mountains of the Moon University,Уганда,,2005-01-01T00:00:00Z
http://www.wikidata.org/entity/Q615301,Медицинская школа Ниппон,Япония,Бункё,1876-01-01T00:00:00Z
http://www.wikidata.org/entity/Q636034,Military Technical Academy,Румыния,,1949-09-15T00:00:00Z
http://www.wikidata.org/entity/Q636034,Military Technical Academy,Румыния,,1949-01-01T00:00:00Z
http://www.wikidata.org/entity/Q640652,Университет Оклахомы,США,Норман,1890-01-01T00:00:00Z
http://www.wikidata.org/entity/Q626804,Mahidol University,Таиланд,,1943-01-01T00:00:00Z
http://www.wikidata.org/entity/Q625421,Woosong University,Республика Корея,,1954-01-01T00:00:00Z
http://www.wikidata.org/entity/Q635116,Азербайджанский университет архитектуры и строительства,Азербайджан,Баку,1975-01-01T00:00:00Z
http://www.wikidata.org/entity/Q614293,International University of Logistics and Transport In Wrocław,Польша,,2001-01-01T00:00:00Z
http://www.wikidata.org/entity/Q625138,KDI School of Public Policy and Management,Республика Корея,,1997-01-01T00:00:00Z
http://www.wikidata.org/entity/Q632465,Radford University,США,,1910-01-01T00:00:00Z
http://www.wikidata.org/entity/Q626634,University of Texas–Pan American,США,,1927-01-01T00:00:00Z
http://www.wikidata.org/entity/Q610220,FPT University,Вьетнам,,2006-01-01T00:00:00Z
http://www.wikidata.org/entity/Q614124,Центральноамериканский технологический университет,Гондурас,,1942-01-01T00:00:00Z
http://www.wikidata.org/entity/Q617446,Университет Фоджи,Италия,,1999-01-01T00:00:00Z
http://www.wikidata.org/entity/Q625421,Woosong University,Республика Корея,,1995-01-01T00:00:00Z
http://www.wikidata.org/entity/Q625496,Korea Polytechnic VI Daegu,Республика Корея,,1996-07-14T00:00:00Z
http://www.wikidata.org/entity/Q600107,Swiss German University,Индонезия,,2000-01-01T00:00:00Z
http://www.wikidata.org/entity/Q606815,Университет Паннонии,Венгрия,,1949-01-01T00:00:00Z
http://www.wikidata.org/entity/Q593321,Университет Генуи,Италия,Генуя,1481-01-01T00:00:00Z
http://www.wikidata.org/entity/Q632558,Харбинский политехнический университет,Китай,Харбин,1920-01-01T00:00:00Z
http://www.wikidata.org/entity/Q626067,Hansei University,Республика Корея,,1953-01-01T00:00:00Z
http://www.wikidata.org/entity/Q625945,Cheongju University,Республика Корея,,1947-01-01T00:00:00Z
http://www.wikidata.org/entity/Q632004,Университет Радбода,Нидерланды,,1923-05-15T00:00:00Z
http://www.wikidata.org/entity/Q625952,Baekseok University,Республика Корея,,1994-01-01T00:00:00Z
http://www.wikidata.org/entity/Q604444,Преторийский университет,ЮАР,,1908-01-01T00:00:00Z
http://www.wikidata.org/entity/Q636074,University of Pitești,Румыния,,1991-01-01T00:00:00Z
http://www.wikidata.org/entity/Q611995,Университет Адольфо Ибаньеса,Чили,,1988-01-01T00:00:00Z
http://www.wikidata.org/entity/Q605669,Muroran Institute of Technology,Япония,Муроран,1949-01-01T00:00:00Z
http://www.wikidata.org/entity/Q632573,Южный университет Юты,США,,1897-01-01T00:00:00Z
http://www.wikidata.org/entity/Q634259,Playa Ancha University,Чили,,1948-01-01T00:00:00Z
http://www.wikidata.org/entity/Q593556,Эгейский университет,Греция,Митилини,1984-01-01T00:00:00Z
http://www.wikidata.org/entity/Q609301,Сплитский университет,Хорватия,Сплит,1974-06-15T00:00:00Z
http://www.wikidata.org/entity/Q635116,Азербайджанский университет архитектуры и строительства,Азербайджан,Баку,1930-01-01T00:00:00Z
http://www.wikidata.org/entity/Q604487,Таллинский технический университет,Эстония,Таллин,1918-01-01T00:00:00Z
http://www.wikidata.org/entity/Q626458,Catholic Kwandong University,Республика Корея,,1955-01-01T00:00:00Z
http://www.wikidata.org/entity/Q584919,Мадридский университет,Испания,,1943-07-29T00:00:00Z
http://www.wikidata.org/entity/Q635878,Университет Лусиада,Португалия,,1986-01-01T00:00:00Z
http://www.wikidata.org/entity/Q622683,Грацский университет имени Карла и Франца,Австрия,Main building of the University of Graz,1585-01-01T00:00:00Z
http://www.wikidata.org/entity/Q636818,École des technologies numériques avancées,Франция,Иври-сюр-Сен,2005-01-01T00:00:00Z
http://www.wikidata.org/entity/Q636060,Университет сельскохозяйственных наук и ветеринарии,Румыния,Бухарест,1852-01-01T00:00:00Z
http://www.wikidata.org/entity/Q578326,Университет Йювяскюля,Финляндия,,1934-01-01T00:00:00Z
http://www.wikidata.org/entity/Q631317,Университет святого Иштвана,Венгрия,,1968-09-09T00:00:00Z
http://www.wikidata.org/entity/Q626872,Korean National Police University,Республика Корея,,1979-01-01T00:00:00Z
http://www.wikidata.org/entity/Q624564,"California State University, Stanislaus",США,,1957-01-01T00:00:00Z
http://www.wikidata.org/entity/Q626872,Korean National Police University,Республика Корея,,1980-01-01T00:00:00Z
http://www.wikidata.org/entity/Q615154,Силезский университет в Катовице,Польша,Катовице,1968-01-01T00:00:00Z
http://www.wikidata.org/entity/Q612665,Брюссельский свободный университет,Бельгия,Иксель,1969-10-01T00:00:00Z
http://www.wikidata.org/entity/Q637084,Technical University in Zvolen,Словакия,Зволен,1952-01-01T00:00:00Z
http://www.wikidata.org/entity/Q588239,Университет Трибхувана,Непал,,1959-06-25T00:00:00Z
http://www.wikidata.org/entity/Q579611,Хаверфордский колледж,США,Haverford Township,1833-01-01T00:00:00Z
http://www.wikidata.org/entity/Q637099,Университет Яна Евангелиста Пуркине в Усти-над-Лабем,Чехия,Усти-над-Лабем,1991-01-01T00:00:00Z
http://www.wikidata.org/entity/Q625103,Миссурийский университет в Сент-Луисе,США,,1963-01-01T00:00:00Z
http://www.wikidata.org/entity/Q613937,University of Ouargla,Алжир,,1988-01-01T00:00:00Z
http://www.wikidata.org/entity/Q638434,Bolivarian University of Venezuela,Венесуэла,,2003-01-01T00:00:00Z
http://www.wikidata.org/entity/Q591426,Университет штата Канзас в Форт-Хейсе,США,,1902-01-01T00:00:00Z
http://www.wikidata.org/entity/Q624691,Университет штата Калифорния в Сан-Маркосе,США,,1989-01-01T00:00:00Z
http://www.wikidata.org/entity/Q624571,Sonoma State University,США,,1960-01-01T00:00:00Z
http://www.wikidata.org/entity/Q623795,Yeungjin University,Республика Корея,,1977-01-01T00:00:00Z
http://www.wikidata.org/entity/Q591905,Ульмская школа,Германия,,1953-01-01T00:00:00Z
http://www.wikidata.org/entity/Q624686,"California State University, Monterey Bay",США,,1994-01-01T00:00:00Z
http://www.wikidata.org/entity/Q624179,Transnational Law and Business University,Республика Корея,,
http://www.wikidata.org/entity/Q626893,Korea University of Science and Technology,Республика Корея,,2003-10-01T00:00:00Z
http://www.wikidata.org/entity/Q624561,Hanshin University,Республика Корея,,
http://www.wikidata.org/entity/Q600924,Университет для иностранцев в Сиене,Италия,,1917-01-01T00:00:00Z
http://www.wikidata.org/entity/Q625158,Каунасский технологический университет,Литва,Каунас,1950-12-28T00:00:00Z
http://www.wikidata.org/entity/Q623604,Handong Global University,Республика Корея,,1995-01-01T00:00:00Z
http://www.wikidata.org/entity/Q624072,Daejeon University,Республика Корея,,1979-01-01T00:00:00Z
http://www.wikidata.org/entity/Q623851,Jeonbuk National University,Республика Корея,,1947-01-01T00:00:00Z
http://www.wikidata.org/entity/Q623828,Mokpo National Maritime University,Республика Корея,,1993-01-01T00:00:00Z
http://www.wikidata.org/entity/Q639417,Университет Пазманеум,Австрия,,1623-01-01T00:00:00Z
http://www.wikidata.org/entity/Q623817,Korea National University of Cultural Heritage,Республика Корея,,1996-01-01T00:00:00Z
http://www.wikidata.org/entity/Q634396,McNeese State University,США,,1939-01-01T00:00:00Z
http://www.wikidata.org/entity/Q634651,Texas A&M University–Corpus Christi,США,,1947-01-01T00:00:00Z
http://www.wikidata.org/entity/Q623817,Korea National University of Cultural Heritage,Республика Корея,,2000-03-02T00:00:00Z
http://www.wikidata.org/entity/Q609375,International University of Japan,Япония,,1982-01-01T00:00:00Z
http://www.wikidata.org/entity/Q633782,Университет Пулы,Хорватия,Пула,2006-12-21T00:00:00Z
http://www.wikidata.org/entity/Q624560,Государственный университет Гумбольдт,США,,1913-01-01T00:00:00Z
http://www.wikidata.org/entity/Q631296,Maritime College of Forest Technology,Канада,,1946-01-01T00:00:00Z
http://www.wikidata.org/entity/Q620640,Appalachian State University,США,Бун (Северная Каролина),1899-01-01T00:00:00Z
http://www.wikidata.org/entity/Q633561,Сарагосский университет,Испания,,1542-01-01T00:00:00Z
http://www.wikidata.org/entity/Q622137,Лихайский университет,США,Бетлехем,1865-01-01T00:00:00Z
http://www.wikidata.org/entity/Q624374,Gwangju University,Республика Корея,,1981-01-01T00:00:00Z
http://www.wikidata.org/entity/Q624295,Hanseo University,Республика Корея,,1992-01-01T00:00:00Z
http://www.wikidata.org/entity/Q587503,Университет Сэйдзё,Япония,,1917-01-01T00:00:00Z
http://www.wikidata.org/entity/Q624959,Южный университет Джорджии,США,,1906-01-01T00:00:00Z
http://www.wikidata.org/entity/Q581046,Университет Фукуоки,Япония,,1934-01-01T00:00:00Z
http://www.wikidata.org/entity/Q37548,Северо-Восточный университет,США,Бостон,1898-01-01T00:00:00Z
http://www.wikidata.org/entity/Q43402,National Formosa University,Китайская Республика (Тайвань),,1980-01-01T00:00:00Z
http://www.wikidata.org/entity/Q49167,Уэслианский университет,США,,1831-01-01T00:00:00Z
http://www.wikidata.org/entity/Q129900,Universidad de la Comunicación,Мексика,,1976-12-13T00:00:00Z
http://www.wikidata.org/entity/Q32393,Наманганский государственный университет,Узбекистан,,1942-01-01T00:00:00Z
http://www.wikidata.org/entity/Q29731,Университет Майор,Чили,,1988-05-13T00:00:00Z
http://www.wikidata.org/entity/Q128111,University of Virginia's College at Wise,США,,
