university,universityLabel,totalStudents,undergradStudents,postgradStudents
http://www.wikidata.org/entity/Q39920,Университет имени Ким Ир Сена,10000,,
http://www.wikidata.org/entity/Q114892,Университет Нагасаки,9090,,
http://www.wikidata.org/entity/Q127745,Евразийский национальный университет имени Л. Н. Гумилёва,11300,,
http://www.wikidata.org/entity/Q115220,Университет Хиросимы,15505,,
http://www.wikidata.org/entity/Q129421,Калифорнийский университет в Дейвисе,36959,,
http://www.wikidata.org/entity/Q23977,Харьковский государственный университет питания и торговли,5518,,
http://www.wikidata.org/entity/Q23985,Хмельницкий национальный университет,7170,,
http://www.wikidata.org/entity/Q49089,Мэрилендский университет Восточного побережья,2384,,
http://www.wikidata.org/entity/Q75478,Политехнический институт Нью-Йоркского университета,2800,,
http://www.wikidata.org/entity/Q75639,National University of East Timor,10454,,
http://www.wikidata.org/entity/Q31519,Карлов университет,49508,,
http://www.wikidata.org/entity/Q24399,Университет Сент-Джозефа,2305,,
http://www.wikidata.org/entity/Q56826,Харьковский национальный автомобильно-дорожный университет,10000,,
http://www.wikidata.org/entity/Q56860,Академия просвещения университета Витовта Великого,12500,,
http://www.wikidata.org/entity/Q116485,University of Louisiana at Lafayette,13371,,
http://www.wikidata.org/entity/Q116485,University of Louisiana at Lafayette,17075,,
http://www.wikidata.org/entity/Q43402,National Formosa University,9146,,
http://www.wikidata.org/entity/Q43659,Волынский национальный университет имени Леси Украинки,13500,,
http://www.wikidata.org/entity/Q32287,Чартерокский колледж,1634,,
http://www.wikidata.org/entity/Q12432,Мичиганский технологический университет,7074,,
http://www.wikidata.org/entity/Q85449,Киевский политехнический институт,25000,,
http://www.wikidata.org/entity/Q15142,Массачусетский университет в Амхерсте,31350,,
http://www.wikidata.org/entity/Q15142,Массачусетский университет в Амхерсте,24209,,
http://www.wikidata.org/entity/Q93435,Буковинский государственный медицинский университет,5000,,
http://www.wikidata.org/entity/Q93662,St. Bonaventure University,2540,,
http://www.wikidata.org/entity/Q93662,St. Bonaventure University,2408,,
http://www.wikidata.org/entity/Q94192,Национальная металлургическая академия Украины,15000,,
http://www.wikidata.org/entity/Q94279,Университет Юго-Восточной Аляски,2070,,
http://www.wikidata.org/entity/Q15570,Китайский университет Гонконга,19861,,
http://www.wikidata.org/entity/Q94469,"The State Institution ""South Ukrainian National Pedagogical University named after K. D. Ushynsky""",6263,,
http://www.wikidata.org/entity/Q49041,Университет Аллена,705,,
http://www.wikidata.org/entity/Q27265,Зальцбургский университет,17969,,
http://www.wikidata.org/entity/Q49119,Брандейский университет,5800,,
http://www.wikidata.org/entity/Q49118,Бостонский колледж,14180,,
http://www.wikidata.org/entity/Q49119,Брандейский университет,5265,,
http://www.wikidata.org/entity/Q49120,Университет Тафтса,9517,,
http://www.wikidata.org/entity/Q49108,Массачусетский технологический институт,11574,,
http://www.wikidata.org/entity/Q49108,Массачусетский технологический институт,11836,,
http://www.wikidata.org/entity/Q49120,Университет Тафтса,12432,,
http://www.wikidata.org/entity/Q49118,Бостонский колледж,14395,,
http://www.wikidata.org/entity/Q49167,Уэслианский университет,3440,,
http://www.wikidata.org/entity/Q49167,Уэслианский университет,2922,,
http://www.wikidata.org/entity/Q49205,Колледж Уэллсли,2379,,
http://www.wikidata.org/entity/Q49205,Колледж Уэллсли,2392,,
http://www.wikidata.org/entity/Q49204,Колледж Смит,2475,,
http://www.wikidata.org/entity/Q49204,Колледж Смит,2496,,
http://www.wikidata.org/entity/Q49205,Колледж Уэллсли,2474,,
http://www.wikidata.org/entity/Q15144,Массачусетский университет,16259,,
http://www.wikidata.org/entity/Q28695,Хельсинкский университет,31312,,
http://www.wikidata.org/entity/Q13338,Университет Бордо I,9280,,
http://www.wikidata.org/entity/Q52413,Канзасский университет,24502,,
http://www.wikidata.org/entity/Q52413,Канзасский университет,26744,,
http://www.wikidata.org/entity/Q37548,Северо-Восточный университет,27133,,
http://www.wikidata.org/entity/Q37548,Северо-Восточный университет,33197,,
http://www.wikidata.org/entity/Q65379,Политехнический университет Виргинии,28470,,
http://www.wikidata.org/entity/Q29718,Университет Хайме I,14343,,
http://www.wikidata.org/entity/Q204181,Тартуский университет,13000,,
http://www.wikidata.org/entity/Q204457,Бергенский университет,16900,,
http://www.wikidata.org/entity/Q204626,Университет Хитоцубаси,6287,,
http://www.wikidata.org/entity/Q267111,Университет Ниигаты,12068,,
http://www.wikidata.org/entity/Q206702,Цюрихский университет,25732,,
http://www.wikidata.org/entity/Q270222,Университет штата Мичиган,45100,,
http://www.wikidata.org/entity/Q270222,Университет штата Мичиган,39423,,
http://www.wikidata.org/entity/Q270222,Университет штата Мичиган,45314,,
http://www.wikidata.org/entity/Q156598,Лейденский университет,33474,,
http://www.wikidata.org/entity/Q212528,Техасский университет в Тайлере,9781,,
http://www.wikidata.org/entity/Q277664,Технологический университет Тампере,7952,,
http://www.wikidata.org/entity/Q277872,Московский гуманитарный университет,4500,,
http://www.wikidata.org/entity/Q161562,Калифорнийский технологический институт,2238,,
http://www.wikidata.org/entity/Q161562,Калифорнийский технологический институт,2397,,
http://www.wikidata.org/entity/Q214341,Амстердамский университет,41000,,
http://www.wikidata.org/entity/Q280824,Технический университет Эйндховена,11000,,
http://www.wikidata.org/entity/Q280824,Технический университет Эйндховена,13069,,
http://www.wikidata.org/entity/Q165980,Венский университет,93628,,
http://www.wikidata.org/entity/Q217439,Гавайский университет,48373,,
http://www.wikidata.org/entity/Q284508,Friends University,1302,,
http://www.wikidata.org/entity/Q284508,Friends University,1671,,
http://www.wikidata.org/entity/Q219564,Каролинский институт,6000,,
http://www.wikidata.org/entity/Q219564,Каролинский институт,8070,,
http://www.wikidata.org/entity/Q168751,Университет Дьюка,14832,,
http://www.wikidata.org/entity/Q168751,Университет Дьюка,18003,,
http://www.wikidata.org/entity/Q170027,Лондонский университет,45500,,
http://www.wikidata.org/entity/Q222450,Цюрихский университет искусств,2186,,
http://www.wikidata.org/entity/Q222738,Национальный автономный университет Мексики,360883,,
http://www.wikidata.org/entity/Q171249,Национальный аэрокосмический университет «Харьковский авиационный институт»,11000,,
http://www.wikidata.org/entity/Q172430,Новоорлеанский университет Лойолы,4065,,
http://www.wikidata.org/entity/Q172430,Новоорлеанский университет Лойолы,4497,,
http://www.wikidata.org/entity/Q174158,Еврейский университет в Иерусалиме,22000,,
http://www.wikidata.org/entity/Q179640,Catholic Private University Linz,438,,
http://www.wikidata.org/entity/Q181177,Университет Кренфилда,4825,,
http://www.wikidata.org/entity/Q182973,Айовский университет,27802,,
http://www.wikidata.org/entity/Q182973,Айовский университет,30318,,
http://www.wikidata.org/entity/Q183170,Техасский университет в Сан-Антонио,34742,,
http://www.wikidata.org/entity/Q188370,Университет Маркетт,10689,,
http://www.wikidata.org/entity/Q188370,Университет Маркетт,12002,,
http://www.wikidata.org/entity/Q189022,Имперский колледж Лондона,17565,,
http://www.wikidata.org/entity/Q189441,Ягеллонский университет,33549,,
http://www.wikidata.org/entity/Q190336,Minzu University of China,15800,,
http://www.wikidata.org/entity/Q193510,Падуанский университет,75000,,
http://www.wikidata.org/entity/Q194445,Каирский университет,207853,,
http://www.wikidata.org/entity/Q195046,Вустерский политехнический институт,6920,,
http://www.wikidata.org/entity/Q195046,Вустерский политехнический институт,6421,,
http://www.wikidata.org/entity/Q197543,Чжэцзянский университет,39000,,
http://www.wikidata.org/entity/Q262617,Фуллеровская теологическая семинария,1257,,
http://www.wikidata.org/entity/Q262854,Ланкастерский университет,12000,,
http://www.wikidata.org/entity/Q498451,Северо-Западный политехнический университет,33,,
http://www.wikidata.org/entity/Q493141,Университет Ботсваны,18176,,
http://www.wikidata.org/entity/Q498401,Университет Ставангера,12000,,
http://www.wikidata.org/entity/Q500131,Университет штата Арканзас,13106,,
http://www.wikidata.org/entity/Q502352,Регентский университет,10483,,
http://www.wikidata.org/entity/Q508048,Кремсский университет повышения квалификации,8849,,
http://www.wikidata.org/entity/Q510029,Бирзейтский университет,13719,,
http://www.wikidata.org/entity/Q521612,Университет искусств Фолькванг,1506,,
http://www.wikidata.org/entity/Q525169,Шанхайский университет транспорта,46443,,
http://www.wikidata.org/entity/Q528231,Голдсмитс,8836,,
http://www.wikidata.org/entity/Q536709,Angelo State University,10775,,
http://www.wikidata.org/entity/Q538452,Университет Бабеша — Бойяи,41136,,
http://www.wikidata.org/entity/Q540231,Reichsuniversität Straßburg,902,,
http://www.wikidata.org/entity/Q540231,Reichsuniversität Straßburg,3824,,
http://www.wikidata.org/entity/Q540672,Обернский университет,25469,,
http://www.wikidata.org/entity/Q540672,Обернский университет,28249,,
http://www.wikidata.org/entity/Q541548,Университет Невшателя,4282,,
http://www.wikidata.org/entity/Q542498,Ave Maria University,600,,
http://www.wikidata.org/entity/Q545540,Аньхойский университет,26690,,
http://www.wikidata.org/entity/Q546976,Университет Суррея,15705,,
http://www.wikidata.org/entity/Q547867,Афинский университет,70461,,
http://www.wikidata.org/entity/Q556098,Университет Пейс (Нью-Йорк),11147,,
http://www.wikidata.org/entity/Q556098,Университет Пейс (Нью-Йорк),12835,,
http://www.wikidata.org/entity/Q558922,Университет штата Иллинойс,20720,,
http://www.wikidata.org/entity/Q572430,Capella University,38930,,
http://www.wikidata.org/entity/Q366071,Зеленогурский Университет,18000,,
http://www.wikidata.org/entity/Q367774,Баптистский университет Оклахомы,1763,,
http://www.wikidata.org/entity/Q371522,Гётеборгский университет,37000,,
http://www.wikidata.org/entity/Q371522,Гётеборгский университет,36003,,
http://www.wikidata.org/entity/Q640652,Университет Оклахомы,27772,,
http://www.wikidata.org/entity/Q642310,Shih Chien University,10280,,
http://www.wikidata.org/entity/Q377757,Университет Родса,8200,,
http://www.wikidata.org/entity/Q390087,Xavier University of Louisiana,4121,,
http://www.wikidata.org/entity/Q391028,Университет Британской Колумбии,71201,,
http://www.wikidata.org/entity/Q392667,Университет Уэйк-Форест,8400,,
http://www.wikidata.org/entity/Q392774,Университет мира,124,,
http://www.wikidata.org/entity/Q392667,Университет Уэйк-Форест,8789,,
http://www.wikidata.org/entity/Q402829,Свято-Владимирская духовная семинария,79,,
http://www.wikidata.org/entity/Q405304,Nayoro City University,778,,
http://www.wikidata.org/entity/Q307065,Абхазский государственный университет,3000,,
http://www.wikidata.org/entity/Q308329,Université Abdou Moumouni,20400,,
http://www.wikidata.org/entity/Q413829,Академия физического воспитания имени Юзефа Пилсудского в Варшаве,5000,,
http://www.wikidata.org/entity/Q414219,Венская академия изобразительных искусств,1494,,
http://www.wikidata.org/entity/Q414219,Венская академия изобразительных искусств,1613,,
http://www.wikidata.org/entity/Q310564,Университет Аль-Кудс,13000,,
http://www.wikidata.org/entity/Q314536,Норвежский университет естественных и технических наук,44000,,
